#Source: http://rochester.nydatabases.com/sites/default/files/popular%20names_0.csv
#Name,Number
Buddy,6305
Max,5719
Molly,5402
Maggie,4510
Bailey,4029
Daisy,3919
Bella,3510
Sadie,3389
Jake,3159
Lucy,3039
Bear,2916
Jack,2703
Shadow,2537
Abby,2467
Rocky,2455
Toby,2313
Chloe,2290
Charlie,2275
Ginger,2248
Lucky,2243
Riley,2216
Duke,2110
Lady,2104
Harley,2043
Sophie,1948
Casey,1935
Angel,1852
Cody,1780
Buster,1718
Princess,1711
Sasha,1610
Sam,1596
Lily,1541
Cooper,1488
Bandit,1487
Dakota,1476
Missy,1471
Coco,1469
Tucker,1466
Zoe,1416
Teddy,1409
Gracie,1347
Zoey,1336
Sammy,1313
Rusty,1296
Sandy,1277
Roxy,1269
Pepper,1267
Rosie,1263
Shelby,1257
Penny,1222
Emma,1219
Brandy,1216
Lilly,1209
Murphy,1187
Ruby,1162
Peanut,1132
Holly,1122
Jasmine,1106
Katie,1084
Hunter,1078
Lola,1078
Gizmo,1077
Annie,1054
Cocoa,1014
Misty,1013
Sassy,979
Oscar,970
Zeus,966
Mia,935
Heidi,926
Oliver,922
Samantha,908
Sparky,893
Baby,892
Belle,878
Oreo,870
Blue,808
Mickey,805
Dixie,766
Chance,760
Rudy,753
Marley,736
Jasper,733
Jessie,733
Spike,727
Gus,716
Nikki,715
Lexi,712
Honey,711
Snickers,709
Mandy,707
Hannah,700
Luke,688
Baxter,687
Rex,683
Scooter,674
Sheba,671
Madison,664
Diesel,660
Cookie,655
Patches,655
Dusty,650
Trixie,648
Stella,640
Jackson,638
Hershey,633
Tasha,628
Snoopy,624
Cassie,620
Abbey,618
Rascal,617
Copper,610
Boomer,608
Precious,607
Lacey,596
Bo,592
Smokey,592
Milo,588
Brutus,583
Roxie,578
Samson,575
Winston,575
Otis,574
Dutchess,573
Bruno,571
Taz,569
Maddie,567
Morgan,566
Scout,554
Bubba,548
Amber,546
Midnight,546
Chester,545
Barney,534
Joey,527
Mocha,520
Beau,510
Minnie,509
Ellie,507
Roscoe,501
Moose,497
Star,495
Phoebe,493
Buffy,492
Diamond,490
Ben,484
Dolly,482
Tyson,481
Louie,480
Brownie,479
Nala,475
Henry,473
Duncan,472
Sydney,470
Sampson,466
Shiloh,465
Bentley,462
Libby,459
Sierra,455
Millie,452
Simon,452
Cosmo,449
Jeter,445
Champ,434
George,434
Jesse,431
Lulu,431
Maya,429
Muffin,426
Chico,424
Dozer,424
Gunner,424
Prince,423
Sugar,422
Rufus,421
Scooby,421
Cleo,420
Luna,417
Sally,416
Kelly,405
Leo,401
Tank,399
Willie,399
Bonnie,398
Simba,398
Zeke,398
Benji,397
Foxy,395
Fred,394
Isabella,389
Tanner,388
Petey,381
Romeo,381
Chelsea,379
Dexter,379
Frankie,376
Emily,375
Logan,374
Chase,372
